Time,Fab,Station,EQID,FileName,Result,Score,inference time,Read Image time
2019-12-27 11:37:09.146480,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19470, LGP-PrintFV-HB-P#6^19_20191227-113709_162080_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-113709_240227_AIresult.jpg, OK  OK ,"[[0. 1. 0. 0.]
 [0. 1. 0. 0.]]",0.02,0.16
2019-12-27 16:46:50.857331,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191244,,NG:NoImage,0,0,0.05
2019-12-27 16:48:42.474795,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191246, LGP-PrintFV-HB-P#6^19_20191227-164842_490396_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164842_568485_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164842_943481_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164842_990354_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_037198_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_084097_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_130970_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_162217_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_209091_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_255962_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_287208_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_334082_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_380927_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_427824_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-164843_459080_AIresult.jpg, LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM,"[[1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]]",2.83,1.03
2019-12-27 17:18:27.197729,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191252, LGP-PrintFV-HB-P#6^19_20191227-171827_213293_AIresult.jpg, LLPM,[[1. 0. 0. 0.]],2.31,0.11
2019-12-27 17:19:02.117232,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191253, LGP-PrintFV-HB-P#6^19_20191227-171902_117232_AIresult.jpg, OK ,[[0. 1. 0. 0.]],0.12,0.08
2019-12-27 17:19:27.584274,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191254, LGP-PrintFV-HB-P#6^19_20191227-171927_584274_AIresult.jpg, LLPM,[[1. 0. 0. 0.]],0.11,0.08
2019-12-27 17:19:52.801308,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191255, LGP-PrintFV-HB-P#6^19_20191227-171952_801308_AIresult.jpg, OK ,[[0. 1. 0. 0.]],0.11,0.08
2019-12-27 17:20:15.112271,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191256, LGP-PrintFV-HB-P#6^19_20191227-172015_112271_AIresult.jpg, OK ,[[0. 1. 0. 0.]],0.11,0.08
2019-12-27 17:27:51.815751,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191259, LGP-PrintFV-HB-P#6^19_20191227-172751_831319_AIresult.jpg, LLPM,[[1. 0. 0. 0.]],0.11,0.08
2019-12-27 17:35:11.035997,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191262, LGP-PrintFV-HB-P#6^19_20191227-173511_051587_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_145357_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_207852_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_254725_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_301596_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_348468_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_395312_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_457836_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_520332_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_567203_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_614050_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_660948_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_692195_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_770315_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_832810_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_879681_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_926555_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173511_973425_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_020299_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_067169_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_114041_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_160913_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_207758_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_254657_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_301529_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_348372_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_395272_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_442145_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_489015_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_551512_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_614009_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_660882_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_707752_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_754625_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_817090_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_895239_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_942110_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173512_973357_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_020231_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_067101_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_113977_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_160846_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_207718_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_238964_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_285838_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_332710_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_363956_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_410831_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_457701_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_488949_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_535819_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_582692_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_645189_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_692059_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_723309_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_770180_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_817053_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_863925_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_910794_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_942047_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173513_988915_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173514_035759_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173514_082658_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173514_145154_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173514_207652_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173514_254521_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-173514_301394_AIresult.jpg, LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM LLPM,"[[1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]]",1.16,3.34
2019-12-27 17:40:20.186963,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191264, LGP-PrintFV-HB-P#6^19_20191227-174020_202532_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174020_265055_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174020_327560_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174020_390046_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174020_483792_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174020_546285_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174020_608784_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174020_686901_AIresult.jpg, LLPM LLPM LLPM LLPM LLPM OK  OK  LLPM,"[[1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [1. 0. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [1. 0. 0. 0.]]",0.47,0.56
2019-12-27 17:41:21.792168,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191265, LGP-PrintFV-HB-P#6^19_20191227-174121_792168_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174121_885884_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174121_948382_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174122_010877_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174122_073372_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174122_135866_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174122_198362_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174122_245234_AIresult.jpg, OK  OK  OK  OK  OK  OK  OK  OK ,"[[0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]]",0.14,0.52
2019-12-27 17:41:32.213317,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^191266, LGP-PrintFV-HB-P#6^19_20191227-174132_213317_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174132_307053_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174132_385173_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174132_478916_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174132_541414_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174132_588286_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174132_666403_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174132_744525_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-174132_807020_AIresult.jpg, OK  OK  OK  OK  OK  OK  OK  OK  OK ,"[[0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]]",0.5,0.67
